lat,lon
58.9167,0.0000
58.9147,-0.7226
58.9147,0.7226
58.9086,-1.4450
58.9086,1.4450
58.8986,-2.1670
58.8443,-4.3277
58.8183,-5.0456
58.7883,-5.7618
58.7543,-6.4763
58.5985,-0.3577
58.5985,0.3577
58.5945,-1.0729
58.5945,1.0729
58.5866,-1.7878
58.5747,-2.5022
58.4877,-5.3496
58.2820,0.0000
58.2800,-0.7082
58.2800,0.7082
58.2741,-1.4161
58.2741,1.4161
58.2644,-2.1237
58.1572,-5.6473
57.9651,-0.3506
57.9651,0.3506
57.9613,-1.0517
57.9613,1.0517
57.9535,-1.7525
57.9535,1.7525
57.9420,-2.4527
57.9266,-3.1522
57.6499,0.0000
57.6480,-0.6943
57.6480,0.6943
57.6423,1.3884
57.6328,2.0821
57.4214,-7.5928
57.3344,-0.3438
57.3344,0.3438
57.3307,-1.0313
57.3307,1.0313
57.3232,1.7184
57.3120,2.4051
57.0889,-7.8576
57.0206,0.0000
57.0188,-0.6809
57.0188,0.6809
57.0133,-1.3617
57.0133,1.3617
57.0040,2.0421
56.9911,2.7218
56.8369,-6.7779
56.7567,-8.1169
56.7067,-0.3372
56.7067,0.3372
56.7030,-1.0116
56.7030,1.0116
56.6957,1.6857
56.6957,-1.6857
56.6848,2.3594
56.4680,-7.7097
56.4250,-8.3710
56.3943,0.0000
56.3925,-0.6681
56.3925,0.6681
56.3872,-1.3360
56.3872,1.3360
56.3782,-2.0036
56.3782,2.0036
56.3656,2.6706
56.2158,-6.6512
56.1785,-7.3095
56.1378,-7.9658
56.0819,-0.3309
56.0819,0.3309
56.0783,-0.9927
56.0783,0.9927
56.0713,1.6542
56.0713,-1.6542
56.0606,2.3153
55.8883,-6.9160
55.8499,-7.5673
55.7711,0.0000
55.7694,-0.6557
55.7693,0.6557
55.7641,-1.3113
55.7641,1.3113
55.7554,1.9665
55.7432,2.6212
55.5613,-7.1755
55.4602,-0.3249
55.4602,0.3249
55.4568,-0.9745
55.4568,0.9745
55.4499,1.6239
55.4396,2.2729
55.4259,2.9213
55.1511,0.0000
55.1494,-0.6438
55.1494,0.6438
55.1443,1.2874
55.1358,1.9308
55.1239,2.5736
54.8418,-0.3190
54.8418,0.3190
54.8385,0.9570
54.8318,1.5947
54.8218,2.2320
54.8084,2.8687
54.5343,0.0000
54.5327,0.6323
54.5277,1.2645
54.5195,1.8963
54.5080,2.5277
54.4932,3.1585
54.4537,-4.4176
54.4291,-5.0456
54.2268,0.3134
54.2236,0.9400
54.2171,1.5665
54.2073,2.1925
54.1943,2.8180
54.1781,3.4429
54.1587,-4.0669
54.1360,-4.6900
54.1102,-5.3120
53.9194,0.6212
53.9146,1.2423
53.9066,1.8631
53.8954,2.4834
53.8810,3.1032
53.8634,-3.7222
53.8427,-4.3403
53.8187,-4.9575
53.7917,-5.5735
53.6121,0.9237
53.6058,1.5392
53.5963,2.1544
53.5837,2.7691
53.5490,-3.9964
53.3050,1.2209
53.2972,1.8310
53.2863,2.4406
53.2723,3.0498
53.2118,-4.8724
52.9889,2.1176
52.9766,2.7218
52.6809,2.3993
52.6673,2.9982
52.6085,-4.7902
52.3732,2.6762
52.2959,-5.0456
52.0792,2.3594
51.7852,2.0477
51.6724,-5.5430
51.4913,1.7410
51.4128,-4.6339
51.3886,-5.2101
51.3616,-5.7853
51.1047,-4.8823
51.0795,-5.4534
51.0515,-6.0234
50.7972,-5.1265
50.7710,-5.6926
50.7420,-6.2575
50.7103,-6.8213
50.6135,-0.2833
50.4904,-5.3667
50.4631,-5.9277
50.4332,-6.4877
50.4007,-7.0464
50.3655,-7.6037
50.3191,0.0000
50.3177,-0.5621
50.3137,-1.1240
50.3069,-1.6857
50.2974,-2.2471
50.2852,-2.8081
50.1560,-6.1590
50.1252,-6.7140
50.0918,-7.2677
50.0558,-7.8201
50.0172,-8.3710
49.9983,-2.5078
49.9850,-3.0641
49.9690,-3.6199
49.9504,-4.1750
49.9291,-4.7292
49.8787,-5.8350
49.8497,-6.3864
49.8180,-6.9365
49.7837,-7.4854
49.7470,-8.0328
49.6853,-3.3160
49.6682,-3.8672
49.6485,-4.4176
49.6263,-4.9671
49.6014,-5.5158
49.5740,-6.0635
49.5441,-6.6100
49.5116,-7.1554
49.4765,-7.6994
49.2984,-5.7452
49.2701,-6.2882
49.2393,-6.8300
49.2060,-7.3706
