Year,Month,Average Rate,Standard Deviation
2004,9,0.681819,0.002328
2004,10,0.691733,0.002876
2004,11,0.698367,0.002927
2004,12,0.694350,0.007564
2005,1,0.697450,0.004754
2005,2,0.689279,0.002027
2005,3,0.692045,0.003986
2005,4,0.682267,0.003152
2005,5,0.683967,0.004125
2005,6,0.668355,0.003951
2005,7,0.688060,0.005274
2005,8,0.685104,0.005554
2005,9,0.677038,0.002926
2005,10,0.681314,0.003734
2005,11,0.679252,0.004890
2005,12,0.678910,0.004754
2006,1,0.685860,0.002022
2006,2,0.682900,0.002538
2006,3,0.689587,0.003805
2006,4,0.694284,0.002785
2006,5,0.682941,0.002702
2006,6,0.686927,0.002961
2006,7,0.687615,0.004360
2006,8,0.676487,0.002979
2006,9,0.675110,0.003066
2006,10,0.672650,0.002238
2006,11,0.674014,0.003260
2006,12,0.672595,0.002229
2007,1,0.662980,0.006533
2007,2,0.667326,0.006126
2007,3,0.680491,0.002662
2007,4,0.679640,0.002368
2007,5,0.681095,0.002342
2007,6,0.675386,0.002487
2007,7,0.674371,0.002809
2007,8,0.677209,0.002006
2007,9,0.689747,0.009156
2007,10,0.695752,0.002732
2007,11,0.708352,0.009302
2007,12,0.721865,0.007351
2008,1,0.747800,0.004600
2008,2,0.751405,0.006904
2008,3,0.775630,0.010509
2008,4,0.795309,0.006912
2008,5,0.791086,0.005037
2008,6,0.791210,0.003121
2008,7,0.792227,0.004083
2008,8,0.792524,0.006580
2008,9,0.797300,0.008003
2008,10,0.786100,0.007754
2008,11,0.831858,0.017760
2008,12,0.908968,0.040450
2009,1,0.915315,0.019847
2009,2,0.887616,0.008895
2009,3,0.920405,0.016440
2009,4,0.896376,0.009966
2009,5,0.884465,0.008934
2009,6,0.855450,0.009082
2009,7,0.859432,0.003554
2009,8,0.862833,0.010328
2009,9,0.893443,0.016496
2009,10,0.914677,0.011656
2009,11,0.897885,0.006389
2009,12,0.897882,0.006884
2010,1,0.883184,0.013473
2010,2,0.875979,0.006278
2010,3,0.901270,0.006114
2010,4,0.874705,0.007235
2010,5,0.855545,0.006926
2010,6,0.827264,0.007320
2010,7,0.836786,0.005865
2010,8,0.823718,0.005156
2010,9,0.840586,0.013266
2010,10,0.876333,0.005936
2010,11,0.855057,0.011295
2010,12,0.847677,0.005899
2011,1,0.847315,0.010944
2011,2,0.846637,0.005219
2011,3,0.867365,0.009801
2011,4,0.883035,0.004946
2011,5,0.876843,0.009736
2011,6,0.887695,0.007004
2011,7,0.883590,0.008269
2011,8,0.876322,0.005718
2011,9,0.871471,0.006030
2011,10,0.870081,0.006670
2011,11,0.857538,0.003239
2011,12,0.843605,0.009397
2012,1,0.831680,0.004731
2012,2,0.837405,0.006273
2012,3,0.834495,0.002331
2012,4,0.822090,0.005057
2012,5,0.803759,0.005343
2012,6,0.806281,0.003700
2012,7,0.787210,0.007044
2012,8,0.788917,0.003512
2012,9,0.799037,0.004732
2012,10,0.806822,0.004504
2012,11,0.803743,0.003975
2012,12,0.812770,0.004337
2013,1,0.833310,0.016367
2013,2,0.862105,0.005908
2013,3,0.859700,0.009752
2013,4,0.850595,0.004375
2013,5,0.848523,0.005147
2013,6,0.851660,0.002689
2013,7,0.862250,0.004642
2013,8,0.858814,0.005449
2013,9,0.841230,0.002822
2013,10,0.847491,0.005146
2013,11,0.837820,0.004317
2013,12,0.836295,0.004906
2014,1,0.826705,0.004279
2014,2,0.825337,0.004236
2014,3,0.831886,0.005238
2014,4,0.824638,0.002693
2014,5,0.815529,0.003928
2014,6,0.803824,0.005543
2014,7,0.792582,0.002129
2014,8,0.797210,0.003136
2014,9,0.790762,0.007339
2014,10,0.788757,0.004593
2014,11,0.790616,0.006758
2014,12,0.787209,0.004812
2015,1,0.766280,0.014365
2015,2,0.740232,0.007924
2015,3,0.723200,0.008447
2015,4,0.722248,0.005830
2015,5,0.722380,0.010873
2015,6,0.720923,0.008443
2015,7,0.706948,0.007141
2015,8,0.715381,0.011882
2015,9,0.732895,0.005319
2015,10,0.731736,0.009676
2015,11,0.706181,0.004837
2015,12,0.727483,0.008610
2016,1,0.754633,0.011074
2016,2,0.775924,0.009587
2016,3,0.781717,0.006861
2016,4,0.792305,0.010490
2016,5,0.777959,0.012006
2016,6,0.791823,0.021429
2016,7,0.841529,0.007652
2016,8,0.855196,0.008141
2016,9,0.852923,0.009603
2016,10,0.893829,0.009026
2016,11,0.867086,0.018461
2016,12,0.845077,0.005971
2017,1,0.860591,0.008399
2017,2,0.852086,0.005138
2017,3,0.865570,0.006282
2017,4,0.847680,0.006627
2017,5,0.855600,0.010638
2017,6,0.877073,0.004800
2017,7,0.887100,0.007255
2017,8,0.912209,0.009148
2017,9,0.894400,0.015675
2017,10,0.890427,0.005498
2017,11,0.887655,0.005226
2017,12,0.883167,0.004077
2018,1,0.882691,0.005493
2018,2,0.883805,0.003462
2018,3,0.883297,0.007152
2018,4,0.873123,0.004609
2018,5,0.878194,0.003835
2018,6,0.878420,0.003470
2018,7,0.887626,0.003803
2018,8,0.896871,0.005195
2018,9,0.893830,0.004572
2018,10,0.882804,0.005114
2018,11,0.880858,0.007766
2018,12,0.898008,0.004638
2019,1,0.885356,0.013198
2019,2,0.872367,0.007079
2019,3,0.858135,0.004505
2019,4,0.862600,0.003943
2019,5,0.871000,0.011076
2019,6,0.891616,0.003676
2019,7,0.899965,0.005429
2019,8,0.916644,0.009391
2019,9,0.891916,0.008341
2019,10,0.873641,0.013380
2019,11,0.857812,0.003899
2019,12,0.847727,0.007378
2020,1,0.848907,0.004333
2020,2,0.842228,0.008618
2020,3,0.897308,0.023063
2020,4,0.875369,0.004675
2020,5,0.888912,0.008445
2020,6,0.899077,0.006894
2020,7,0.904400,0.005033
2020,8,0.900558,0.004102
2020,9,0.910127,0.011365
2020,10,0.906730,0.003068
2020,11,0.896072,0.004328
2020,12,0.906122,0.005640
2021,1,0.891673,0.006897
2021,2,0.872142,0.006556
2021,3,0.858837,0.003622
2021,4,0.864673,0.006838
2021,5,0.862688,0.003634
2021,6,0.858862,0.002151
2021,7,0.855692,0.002887
2021,8,0.853150,0.004007
2021,9,0.856758,0.002904
2021,10,0.847458,0.003878
2021,11,0.848212,0.006235
2021,12,0.849411,0.004862
2022,1,0.835115,0.002120
2022,2,0.838092,0.004490
2022,3,0.836448,0.005644
2022,4,0.835615,0.005400
2022,5,0.849812,0.004565
2022,6,0.857885,0.004140
2022,7,0.849023,0.006729
2022,8,0.845722,0.006188
2022,9,0.875262,0.011074
2022,10,0.870662,0.006573
2022,11,0.869581,0.006550
2022,12,0.870926,0.010868
2023,1,0.881169,0.003837
2023,2,0.887104,0.005250
2023,3,0.882996,0.004152
2023,4,0.883428,0.005130
2023,5,0.872000,0.006160
2023,6,0.858357,0.002801
2023,7,0.858716,0.003885
2023,8,0.859013,0.003851
2023,9,0.862227,0.005098
2023,10,0.868261,0.003292
2023,11,0.870830,0.003725
2023,12,0.862419,0.004704
2024,1,0.858577,0.003694
2024,2,0.854672,0.001265
2024,3,0.855590,0.002496
2024,4,0.857203,0.002465
2024,5,0.856297,0.003823
2024,6,0.847160,0.002824
2024,7,0.844103,0.003844
2024,8,0.851645,0.005492
2024,9,0.840443,0.004226
2024,10,0.835377,0.002836
2024,11,0.833760,0.003497
2024,12,0.828955,0.002284
2025,1,0.838339,0.005775
2025,2,0.831018,0.002923
2025,3,0.837626,0.004986
2025,4,0.854960,0.007770
2025,5,0.844250,0.004527
2025,6,0.850192,0.005121
2025,7,0.865667,0.003648
2025,8,0.866108,0.003553
2025,9,0.869200,0.003330
2025,10,0.871530,0.003850
2025,11,0.879888,0.002617
