"datetime","ercot_electricity_demand"
1516788000,42197
1516791600,40106
1516795200,38341
1516798800,37122
1516802400,36136
1516806000,35493
1516809600,35552
1516813200,36487
1516816800,39411
1516820400,40532
1516824000,40957
1516827600,40536
1516831200,38998
1516834800,37525
1516838400,36756
1516842000,36748
1516845600,37130
1516849200,37992
1516852800,39663
1516856400,43204
1516860000,48007
1516863600,49418
1516867200,47355
1516870800,44650
1516874400,42422
1516878000,40508
1516881600,39014
1516885200,37925
1516888800,37131
1516892400,36698
1516896000,36984
1516899600,38258
1516903200,40723
1516906800,41295
1516910400,41008
1516914000,39737
1516917600,37246
1516921200,35133
1516924800,33770
1516928400,33093
1516932000,32761
1516935600,32865
1516939200,33629
1516942800,35965
1516946400,39699
1516950000,40868
1516953600,40322
1516957200,40080
1516960800,39625
1516964400,38759
1516968000,37961
1516971600,37312
1516975200,36593
1516978800,36069
1516982400,36023
1516986000,36528
1516989600,37556
1516993200,37131
1516996800,36412
1517000400,35276
1517004000,33653
1517007600,31706
1517011200,30104
1517014800,29049
1517018400,28360
1517022000,28185
1517025600,28312
1517029200,28942
1517032800,30326
1517036400,31916
1517040000,33320
1517043600,34583
1517047200,35303
1517050800,35436
1517054400,35064
1517058000,34366
1517061600,33667
1517065200,33305
1517068800,33191
1517072400,33819
1517076000,35405
1517079600,35543
1517083200,35208
1517086800,34538
1517090400,33547
1517094000,32329
1517097600,31262
1517101200,30610
1517104800,30349
1517108400,30430
1517112000,30913
1517115600,31796
1517119200,33279
1517122800,34771
1517126400,35868
1517130000,35904
1517133600,35307
1517137200,34453
1517140800,33778
1517144400,33175
1517148000,32813
1517151600,32581
1517155200,32774
1517158800,33493
1517162400,35725
1517166000,36478
1517169600,36352
1517173200,35636
1517176800,34145
1517180400,32569
1517184000,31643
1517187600,31360
1517191200,31616
1517194800,32337
1517198400,33993
1517202000,37461
1517205600,42579
1517209200,44468
1517212800,43321
1517216400,41947
1517220000,40654
1517223600,39345
1517227200,38084
1517230800,37123
1517234400,36277
1517238000,35722
1517241600,35872
1517245200,36919
1517248800,39803
1517252400,40772
1517256000,40903
1517259600,40030
1517263200,38220
1517266800,36503
1517270400,35771
1517274000,35832
1517277600,36337
1517281200,37210
1517284800,38888
1517288400,42272
1517292000,47302
1517295600,48664
1517299200,46729
1517302800,44466
1517306400,42370
1517310000,40325
1517313600,38526
1517317200,37434
1517320800,36496
1517324400,35911
1517328000,36017
1517331600,36970
1517335200,39720
1517338800,40657
1517342400,40535
1517346000,39626
1517349600,37635
1517353200,35617
1517356800,34535
1517360400,34148
1517364000,34163
1517367600,34579
1517371200,35923
1517374800,38832
1517378400,43262
1517382000,44190
1517385600,42373
1517389200,40478
1517392800,38706
1517396400,37291
1517400000,36169
1517403600,35523
1517407200,34974
1517410800,34730
1517414400,34876
1517418000,35341
1517421600,37302
1517425200,37656
1517428800,37131
1517432400,35799
1517436000,33580
1517439600,31396
1517443200,29929
1517446800,29275
1517450400,29108
1517454000,29276
1517457600,30232
1517461200,32799
1517464800,36891
1517468400,38140
1517472000,37320
1517475600,36947
1517479200,36745
1517482800,36478
1517486400,36128
1517490000,36095
1517493600,35922
1517497200,35778
1517500800,35781
1517504400,36315
1517508000,38452
1517511600,38951
1517515200,38643
1517518800,37443
1517522400,35390
1517526000,33352
1517529600,32223
1517533200,31823
1517536800,31975
1517540400,32583
1517544000,33985
1517547600,36923
1517551200,41531
1517554800,43304
1517558400,42966
1517562000,42327
1517565600,41303
1517569200,39800
1517572800,38310
1517576400,37266
1517580000,36460
1517583600,35877
1517587200,36117
1517590800,37251
1517594400,39620
1517598000,40116
1517601600,40061
1517605200,39448
1517608800,38060
1517612400,36399
1517616000,35013
1517619600,34262
1517623200,33927
1517626800,33981
1517630400,34404
1517634000,35561
1517637600,37279
1517641200,38976
1517644800,40172
1517648400,40678
1517652000,40303
1517655600,39587
1517659200,38371
1517662800,37337
1517666400,36547
1517670000,35991
1517673600,35759
1517677200,36295
1517680800,37738
1517684400,37621
1517688000,37015
1517691600,36026
1517695200,34543
1517698800,32961
1517702400,31655
1517706000,30766
1517709600,30262
1517713200,30082
1517716800,30322
1517720400,30989
1517724000,32134
1517727600,33343
1517731200,34457
1517734800,34881
1517738400,34527
1517742000,34182
1517745600,33969
1517749200,33908
1517752800,33929
1517756400,34101
1517760000,34398
1517763600,34834
1517767200,36105
1517770800,36643
1517774400,36680
1517778000,36412
1517781600,35720
1517785200,34187
1517788800,33230
1517792400,33166
1517796000,33483
1517799600,34311
1517803200,35875
1517806800,39075
1517810400,43410
1517814000,45301
1517817600,44623
1517821200,44006
1517824800,43614
1517828400,42994
1517832000,42152
1517835600,41263
1517839200,40272
1517842800,39618
1517846400,39611
1517850000,40394
1517853600,42306
1517857200,42647
1517860800,42050
1517864400,40493
1517868000,38039
1517871600,35663
1517875200,34255
1517878800,33636
1517882400,33508
1517886000,33630
1517889600,34542
1517893200,36990
1517896800,40764
1517900400,42080
1517904000,41544
1517907600,41829
1517911200,41982
1517914800,41864
1517918400,41735
1517922000,41802
1517925600,41822
1517929200,42227
1517932800,43100
1517936400,44618
1517940000,46422
1517943600,46666
1517947200,46104
1517950800,44526
1517954400,42039
1517958000,39786
1517961600,38393
1517965200,37822
1517968800,37751
1517972400,38042
1517976000,39304
1517979600,42430
1517983200,47034
1517986800,48812
1517990400,48894
1517994000,48809
1517997600,48236
1518001200,47221
1518004800,45896
1518008400,44800
1518012000,43794
1518015600,43446
1518019200,43785
1518022800,45240
1518026400,47818
1518030000,48601
1518033600,48421
1518037200,47200
1518040800,44881
1518044400,42772
1518048000,41683
1518051600,41456
1518055200,41640
1518058800,42172
1518062400,43706
1518066000,46872
1518069600,51498
1518073200,52545
1518076800,50305
1518080400,47675
1518084000,45045
1518087600,42622
1518091200,40474
1518094800,38906
1518098400,37760
1518102000,37210
1518105600,37397
1518109200,38479
1518112800,40890
1518116400,41799
1518120000,41745
1518123600,40743
1518127200,38631
1518130800,36457
1518134400,34969
1518138000,34200
1518141600,33879
1518145200,33823
1518148800,34551
1518152400,36860
1518156000,40468
1518159600,41377
1518163200,40484
1518166800,39715
1518170400,38995
1518174000,38264
1518177600,37325
1518181200,36666
1518184800,36026
1518188400,35667
1518192000,35657
1518195600,36082
1518199200,37471
1518202800,37459
1518206400,36778
1518210000,35730
1518213600,34055
1518217200,32096
1518220800,30591
1518224400,29598
1518228000,29089
1518231600,28966
1518235200,29246
1518238800,30170
1518242400,32105
1518246000,34204
1518249600,36208
1518253200,38407
1518256800,39647
1518260400,40390
1518264000,40572
1518267600,40374
1518271200,40400
1518274800,40565
1518278400,40976
1518282000,41707
1518285600,43222
1518289200,43534
1518292800,43142
1518296400,42437
1518300000,41107
1518303600,39966
1518307200,39012
1518310800,38606
1518314400,38526
1518318000,38987
1518321600,39847
1518325200,41056
1518328800,42982
1518332400,44839
1518336000,47008
1518339600,48851
1518343200,49939
1518346800,49949
1518350400,49111
1518354000,47853
1518357600,46636
1518361200,45765
1518364800,45768
1518368400,46959
1518372000,49358
1518375600,50394
1518379200,50409
1518382800,49472
1518386400,47298
1518390000,45165
1518393600,44122
1518397200,43822
1518400800,44089
1518404400,44728
1518408000,46216
1518411600,49433
1518415200,53940
1518418800,55149
1518422400,53826
1518426000,52731
1518429600,51579
1518433200,49639
1518436800,47266
1518440400,45304
1518444000,43605
1518447600,42539
1518451200,42646
1518454800,44080
1518458400,47053
1518462000,48235
1518465600,48097
1518469200,46762
1518472800,44074
1518476400,41531
1518480000,39882
1518483600,39113
1518487200,38735
1518490800,38881
1518494400,39839
1518498000,42579
1518501600,46605
1518505200,47618
1518508800,46875
1518512400,46576
1518516000,46302
1518519600,45609
1518523200,44584
1518526800,43628
1518530400,42813
1518534000,42418
1518537600,42861
1518541200,44019
1518544800,45593
1518548400,45779
1518552000,45087
1518555600,43454
1518559200,40706
1518562800,38112
1518566400,36385
1518570000,35325
1518573600,34851
1518577200,34775
1518580800,35602
1518584400,38082
1518588000,41760
1518591600,42271
1518595200,41207
1518598800,40653
1518602400,40047
1518606000,39051
1518609600,37880
1518613200,37182
1518616800,36770
1518620400,36606
1518624000,36770
1518627600,36882
1518631200,38053
1518634800,38523
1518638400,37921
1518642000,36551
1518645600,34308
1518649200,31868
1518652800,30025
1518656400,28963
1518660000,28392
1518663600,28214
1518667200,28776
1518670800,30726
1518674400,34393
1518678000,35677
1518681600,35844
1518685200,36429
1518688800,37044
1518692400,37365
1518696000,37663
1518699600,38016
1518703200,38144
1518706800,38264
1518710400,38312
1518714000,38233
1518717600,39316
1518721200,39772
1518724800,39061
1518728400,37407
1518732000,34992
1518735600,32295
1518739200,30272
1518742800,29021
1518746400,28351
1518750000,28206
1518753600,28618
1518757200,30432
1518760800,33963
1518764400,35406
1518768000,35871
1518771600,36773
1518775200,37491
1518778800,37927
1518782400,38039
1518786000,38235
1518789600,38268
1518793200,38073
1518796800,38091
1518800400,38346
1518804000,39369
1518807600,39275
1518811200,38446
1518814800,37390
1518818400,35662
1518822000,33775
1518825600,32082
1518829200,31067
1518832800,30430
1518836400,30238
1518840000,30620
1518843600,31491
1518847200,32944
1518850800,34554
1518854400,36257
1518858000,37751
1518861600,38297
1518865200,37726
1518868800,36999
1518872400,36226
1518876000,35818
1518879600,35660
1518883200,35490
1518886800,35407
1518890400,36388
1518894000,36570
1518897600,35894
1518901200,35042
1518904800,33797
1518908400,32282
1518912000,31018
1518915600,30204
1518919200,29670
1518922800,29554
1518926400,29761
1518930000,30245
1518933600,31326
1518937200,32420
1518940800,33888
1518944400,35117
1518948000,35835
1518951600,36303
1518955200,36790
1518958800,37157
1518962400,37159
1518966000,36942
1518969600,36818
1518973200,37027
1518976800,38146
1518980400,38421
1518984000,37515
1518987600,36124
1518991200,34116
1518994800,31901
1518998400,30127
1519002000,29011
1519005600,28352
1519009200,28158
1519012800,28725
1519016400,30520
1519020000,33361
1519023600,34588
1519027200,35448
1519030800,36770
1519034400,38017
1519038000,38850
1519041600,39417
1519045200,39800
1519048800,39822
1519052400,39617
1519056000,39479
1519059600,39642
1519063200,40838
1519066800,41242
1519070400,40416
1519074000,38783
1519077600,36254
1519081200,33615
1519084800,31601
1519088400,30379
1519092000,29617
1519095600,29325
1519099200,29696
1519102800,31441
1519106400,34855
1519110000,36254
1519113600,36449
1519117200,37262
1519120800,38049
1519124400,38689
1519128000,38984
1519131600,39141
1519135200,39198
1519138800,39237
1519142400,39496
1519146000,39976
1519149600,41264
1519153200,41705
1519156800,41207
1519160400,40056
1519164000,37964
1519167600,35866
1519171200,34357
1519174800,33629
1519178400,33349
1519182000,33337
1519185600,34330
1519189200,37027
1519192800,41571
1519196400,43600
1519200000,43871
1519203600,44679
1519207200,45316
1519210800,45673
1519214400,46099
1519218000,46612
1519221600,46772
1519225200,46773
1519228800,47089
1519232400,47588
1519236000,48377
1519239600,48513
1519243200,47740
1519246800,45971
1519250400,43121
1519254000,40696
1519257600,39201
1519261200,38532
1519264800,38187
1519268400,38273
1519272000,39225
1519275600,41741
1519279200,45701
1519282800,46953
1519286400,46872
1519290000,46846
1519293600,46603
1519297200,46096
1519300800,45432
1519304400,44946
1519308000,44340
1519311600,44180
1519315200,44522
1519318800,45082
1519322400,46356
1519326000,46424
1519329600,45579
1519333200,43735
1519336800,41122
1519340400,38612
1519344000,36902
1519347600,35972
1519351200,35532
1519354800,35421
1519358400,36123
1519362000,38373
1519365600,41670
1519369200,42688
1519372800,42319
1519376400,42399
1519380000,42456
1519383600,42104
1519387200,41553
1519390800,41153
1519394400,40854
1519398000,40628
1519401600,40636
1519405200,40578
1519408800,41008
1519412400,40803
1519416000,40016
1519419600,39012
1519423200,37298
1519426800,35378
1519430400,33833
1519434000,32729
1519437600,32003
1519441200,31632
1519444800,31722
1519448400,32460
1519452000,33681
1519455600,34785
1519459200,36089
1519462800,37349
1519466400,38357
1519470000,39020
1519473600,39120
1519477200,38412
1519480800,37618
1519484400,36983
1519488000,36547
1519491600,36513
1519495200,37323
1519498800,37850
1519502400,37360
1519506000,36574
1519509600,35390
1519513200,33702
1519516800,32439
1519520400,31556
1519524000,30986
1519527600,30689
1519531200,30723
1519534800,31216
1519538400,32343
1519542000,33357
1519545600,34435
1519549200,35011
1519552800,35041
1519556400,34863
1519560000,34614
1519563600,34228
1519567200,33972
1519570800,33935
1519574400,34133
1519578000,34706
1519581600,36020
1519585200,37121
1519588800,36705
1519592400,35627
1519596000,33688
1519599600,31561
1519603200,30221
1519606800,29524
1519610400,29372
1519614000,29670
1519617600,30749
1519621200,33572
1519624800,37774
1519628400,39069
1519632000,38479
1519635600,38177
1519639200,37734
1519642800,37027
1519646400,36255
1519650000,35891
1519653600,35691
1519657200,35585
1519660800,35719
1519664400,35910
1519668000,37316
1519671600,38370
1519675200,37901
1519678800,36585
1519682400,34322
1519686000,31914
1519689600,30319
1519693200,29444
1519696800,29180
1519700400,29281
1519704000,29998
1519707600,32286
1519711200,35980
1519714800,37085
1519718400,37059
1519722000,37371
1519725600,37794
1519729200,38167
1519732800,38386
1519736400,38791
1519740000,38962
1519743600,39045
1519747200,39158
1519750800,39247
1519754400,40111
1519758000,40683
1519761600,39879
1519765200,38248
1519768800,35719
1519772400,33090
1519776000,31178
1519779600,30094
1519783200,29461
1519786800,29229
1519790400,29673
1519794000,31582
1519797600,35052
1519801200,36207
1519804800,36599
1519808400,37588
1519812000,38630
1519815600,39410
1519819200,39988
1519822800,40562
1519826400,40843
1519830000,40879
1519833600,40862
1519837200,40519
1519840800,41086
1519844400,41515
1519848000,40736
1519851600,39141
1519855200,36374
1519858800,33689
1519862400,31850
1519866000,30545
1519869600,29689
1519873200,29235
1519876800,29657
1519880400,31586
1519884000,35029
1519887600,36047
1519891200,36238
1519894800,36848
1519898400,37348
1519902000,37660
1519905600,37795
1519909200,38104
1519912800,38083
1519916400,38102
1519920000,37944
1519923600,37481
1519927200,38183
1519930800,39171
1519934400,38714
1519938000,37377
1519941600,35069
1519945200,32746
1519948800,31107
1519952400,30248
1519956000,29876
1519959600,29986
1519963200,30940
1519966800,33495
1519970400,37442
1519974000,38401
1519977600,37650
1519981200,37262
1519984800,36903
1519988400,36641
1519992000,36503
1519995600,36769
1519999200,36918
1520002800,36872
1520006400,36798
1520010000,36475
1520013600,36580
1520017200,37021
1520020800,36304
1520024400,35305
1520028000,33747
1520031600,31927
1520035200,30374
1520038800,29354
1520042400,28784
1520046000,28670
1520049600,28890
1520053200,29859
1520056800,31317
1520060400,32471
1520064000,33660
1520067600,34447
1520071200,34728
1520074800,34822
1520078400,34725
1520082000,34513
1520085600,34511
1520089200,34427
1520092800,34502
1520096400,34670
1520100000,35522
1520103600,35927
1520107200,35285
1520110800,34363
1520114400,32960
1520118000,31266
1520121600,29814
1520125200,28749
1520128800,27961
1520132400,27553
1520136000,27465
1520139600,27740
1520143200,28561
1520146800,29347
1520150400,31075
1520154000,32861
1520157600,34099
1520161200,34969
1520164800,35627
1520168400,36025
1520172000,36263
1520175600,36568
1520179200,36865
1520182800,37284
1520186400,38052
1520190000,39049
1520193600,38439
1520197200,37198
1520200800,35042
1520204400,32586
1520208000,30646
1520211600,29502
1520215200,28875
1520218800,28676
1520222400,29215
1520226000,31195
1520229600,34800
1520233200,35886
1520236800,36458
1520240400,37609
1520244000,38637
1520247600,39314
1520251200,39775
1520254800,40202
1520258400,40468
1520262000,40473
1520265600,40084
1520269200,39644
1520272800,40124
1520276400,40593
1520280000,39452
1520283600,37454
1520287200,34854
1520290800,32028
1520294400,30222
1520298000,29225
1520301600,28894
1520305200,29014
1520308800,29910
1520312400,32530
1520316000,36819
1520319600,37889
1520323200,37170
1520326800,36700
1520330400,36378
1520334000,36012
1520337600,35784
1520341200,35753
1520344800,35715
1520348400,35763
1520352000,35936
1520355600,36002
1520359200,36997
1520362800,38193
1520366400,37697
1520370000,36374
1520373600,34096
1520377200,31908
1520380800,30510
1520384400,29928
1520388000,29770
1520391600,30075
1520395200,31326
1520398800,34319
1520402400,38801
1520406000,39826
1520409600,39003
1520413200,38304
1520416800,37656
1520420400,36909
1520424000,36236
1520427600,35854
1520431200,35528
1520434800,35343
1520438400,35361
1520442000,35610
1520445600,36903
1520449200,38387
1520452800,38254
1520456400,37194
1520460000,35143
1520463600,33070
1520467200,31789
1520470800,31184
1520474400,31070
1520478000,31299
1520481600,32333
1520485200,35080
1520488800,39161
1520492400,40039
1520496000,39289
1520499600,38436
1520503200,37716
1520506800,36820
1520510400,36029
1520514000,35762
1520517600,35440
1520521200,35306
1520524800,35323
1520528400,35397
1520532000,36516
1520535600,37756
1520539200,37548
1520542800,36385
1520546400,34291
1520550000,32123
1520553600,30741
1520557200,30036
1520560800,29755
1520564400,29841
1520568000,30613
1520571600,32960
1520575200,36409
1520578800,37190
1520582400,36837
1520586000,36473
1520589600,36326
1520593200,36150
1520596800,35939
1520600400,36010
1520604000,35856
1520607600,35583
1520611200,35447
1520614800,35499
1520618400,36244
1520622000,36652
1520625600,36163
1520629200,35034
1520632800,33471
1520636400,31582
1520640000,29962
1520643600,28907
1520647200,28234
1520650800,27970
1520654400,28038
1520658000,28752
1520661600,29955
1520665200,31056
1520668800,32820
1520672400,34424
1520676000,35698
1520679600,36886
1520683200,37966
1520686800,39035
1520690400,40179
1520694000,41111
1520697600,41483
1520701200,41060
1520704800,40467
1520708400,40446
1520712000,39222
1520715600,37704
1520719200,35892
1520722800,33876
1520726400,31968
1520730000,30584
1520737200,29843
1520740800,29388
1520744400,29358
1520748000,29766
1520751600,30506
1520755200,31213
1520758800,32654
1520762400,33827
1520766000,34739
1520769600,35628
1520773200,35976
1520776800,35782
1520780400,35411
1520784000,35037
1520787600,34625
1520791200,34348
1520794800,34963
1520798400,35814
1520802000,35127
1520805600,33529
1520809200,31516
1520812800,29885
1520816400,28991
1520820000,28624
1520823600,28744
1520827200,29594
1520830800,31646
1520834400,34708
1520838000,37130
1520841600,37883
1520845200,38022
1520848800,37846
1520852400,37281
1520856000,36471
1520859600,35937
1520863200,35418
1520866800,35114
1520870400,34850
1520874000,34688
1520877600,34702
1520881200,35537
1520884800,36701
1520888400,36058
1520892000,34521
1520895600,32476
1520899200,31153
1520902800,30421
1520906400,30268
1520910000,30439
1520913600,31106
1520917200,33064
1520920800,35746
1520924400,37723
1520928000,37973
1520931600,37598
1520935200,37058
1520938800,36385
1520942400,35795
1520946000,35472
1520949600,35155
1520953200,35015
1520956800,35066
1520960400,34980
1520964000,34857
1520967600,35484
1520971200,36691
1520974800,36036
1520978400,34329
1520982000,32451
1520985600,31043
1520989200,30354
1520992800,30156
1520996400,30469
1521000000,31460
1521003600,33698
1521007200,36827
1521010800,38985
1521014400,39100
1521018000,38355
1521021600,37571
1521025200,36791
1521028800,36140
1521032400,35822
1521036000,35659
1521039600,35650
1521043200,35767
1521046800,35695
