lat,lon,cell_index,cell_neighbour_indexes
51.2061,-0.2879,13252,13092_13251_13093_13253_13412_13413
51.2061,0.2879,13412,13251_13411_13252_13413_13573_13574
51.2033,-0.8636,13093,12934_13092_12935_13094_13252_13253
51.2033,0.8636,13573,13411_13572_13412_13574_13735_13736
51.1976,-1.4392,12935,12777_12934_12778_12936_13093_13094
51.1976,1.4392,13735,13572_13734_13573_13736_13898_13899
51.1891,-2.0144,12778,12621_12777_12622_12779_12935_12936
51.1779,-2.5893,12622,12466_12621_12467_12623_12778_12779
51.1638,-3.1636,12467,12312_12466_12313_12468_12622_12623
51.1469,-3.7373,12313,12159_12312_12160_12314_12467_12468
51.1272,-4.3102,12160,12007_12159_12008_12161_12313_12314
50.9096,0.0000,13413,13252_13412_13253_13414_13574_13575
50.9083,0.5711,13574,13412_13573_13413_13575_13736_13737
50.9082,-0.5711,13253,13093_13252_13094_13254_13413_13414
50.9041,-1.1421,13094,12935_13093_12936_13095_13253_13254
50.9041,1.1421,13736,13573_13735_13574_13737_13899_13900
50.8971,-1.7129,12936,12778_12935_12779_12937_13094_13095
50.8874,-2.2833,12779,12622_12778_12623_12780_12936_12937
50.8749,-2.8533,12623,12467_12622_12468_12624_12779_12780
50.8596,-3.4228,12468,12313_12467_12314_12469_12623_12624
50.8415,-3.9915,12314,12160_12313_12161_12315_12468_12469
50.8207,-4.5595,12161,12008_12160_12009_12162_12314_12315
50.6135,0.2833,13575,13413_13574_13414_13576_13737_13738
50.6108,-0.8498,13254,13094_13253_13095_13255_13414_13415
50.6053,-1.4161,13095,12936_13094_12937_13096_13254_13255
50.5970,-1.9822,12937,12779_12936_12780_12938_13095_13096
50.5861,-2.5479,12780,12623_12779_12624_12781_12937_12938
50.5724,-3.1131,12624,12468_12623_12469_12625_12780_12781
50.5559,-3.6776,12469,12314_12468_12315_12470_12624_12625
50.5368,-4.2415,12315,12161_12314_12162_12316_12469_12470
50.5149,-4.8046,12162,12009_12161_12010_12163_12315_12316
50.2704,-3.3686,12625,12469_12624_12470_12626_12781_12782
50.2528,-3.9283,12470,12315_12469_12316_12471_12625_12626
50.2326,-4.4874,12316,12162_12315_12163_12317_12470_12471
50.2097,-5.0456,12163,12010_12162_12011_12164_12316_12317
50.1842,-5.6028,12011,11859_12010_11860_12012_12163_12164
49.9052,-5.2826,12164,12011_12163_12012_12165_12317_12318
