lat,lon
55.3061,-6.1488
55.2721,-6.7903
55.2347,-7.4300
55.1443,-1.2874
55.1358,-1.9308
55.1239,-2.5736
55.1087,-3.2158
55.0901,-3.8571
55.0681,-4.4975
55.0429,-5.1368
55.0142,-5.7748
54.9823,-6.4114
54.9471,-7.0464
54.8385,-0.9570
54.8318,-1.5947
54.8218,-2.2320
54.8084,-2.8687
54.7918,-3.5048
54.7718,-4.1400
54.7485,-4.7741
54.7219,-5.4071
54.6920,-6.0388
54.6589,-6.6690
54.6226,-7.2976
54.5327,-0.6323
54.5277,-1.2645
54.5195,-1.8963
54.5080,-2.5277
54.4931,-3.1585
54.4751,-3.7885
54.4013,-5.6724
54.3703,-6.2978
54.3360,-6.9218
54.2986,-7.5441
54.2268,-0.3134
54.2236,-0.9400
54.2171,-1.5665
54.2073,-2.1925
54.1943,-2.8180
54.1781,-3.4429
54.0812,-5.9327
54.0490,-6.5520
53.9210,0.0000
53.9194,-0.6212
53.9146,-1.2423
53.9066,-1.8631
53.8954,-2.4834
53.8810,-3.1032
53.6153,-0.3079
53.6153,0.3079
53.6121,-0.9237
53.6058,-1.5392
53.5963,-2.1544
53.5837,-2.7691
53.5679,-3.3832
53.5270,-4.6088
53.3112,0.0000
53.3097,-0.6105
53.3097,0.6105
53.3050,-1.2209
53.2972,-1.8310
53.2863,-2.4406
53.2723,-3.0498
53.2552,-3.6582
53.2351,-4.2658
53.0073,-0.3027
53.0073,0.3027
53.0043,-0.9079
53.0043,0.9079
52.9981,-1.5129
52.9981,1.5129
52.9889,-2.1176
52.9766,-2.7218
52.9613,-3.3255
52.9429,-3.9283
52.9215,-4.5304
52.7051,0.0000
52.7036,0.6002
52.7036,-0.6002
52.6991,-1.2002
52.6991,1.2002
52.6915,-1.7999
52.6915,1.7999
52.6809,-2.3993
52.6673,-2.9982
52.6507,-3.5963
52.6311,-4.1938
52.4031,-0.2976
52.4031,0.2976
52.4001,-0.8926
52.4001,0.8926
52.3941,-1.4875
52.3941,1.4875
52.3852,-2.0821
52.3852,2.0821
52.3732,-2.6762
52.3583,-3.2697
52.3405,-3.8625
52.3196,-4.4545
52.1028,0.0000
52.1013,-0.5902
52.1013,0.5902
52.0969,-1.1802
52.0969,1.1802
52.0895,1.7700
52.0895,-1.7700
52.0792,-2.3594
52.0660,-2.9483
52.0498,-3.5366
52.0307,-4.1241
52.0088,-4.7108
51.9839,-5.2965
51.8026,-0.2926
51.8026,0.2926
51.7997,-0.8779
51.7997,0.8779
51.7939,1.4629
51.7939,-1.4629
51.7852,-2.0477
51.7736,-2.6320
51.7591,-3.2158
51.7417,-3.7989
51.7215,-4.3812
51.6984,-4.9626
51.5042,0.0000
51.5028,0.5805
51.5028,-0.5805
51.4985,-1.1608
51.4985,1.1608
51.4913,-1.7410
51.4813,-2.3207
51.4685,-2.9000
51.4527,-3.4787
51.4342,-4.0567
51.2061,-0.2879
51.2061,0.2879
51.2033,-0.8636
51.2033,0.8636
51.1976,-1.4392
51.1976,1.4392
51.1891,-2.0144
51.1779,-2.5893
51.1638,-3.1636
51.1469,-3.7373
51.1272,-4.3102
50.9096,0.0000
50.9083,0.5711
50.9082,-0.5711
50.9041,-1.1421
50.9041,1.1421
50.8971,-1.7129
50.8874,-2.2833
50.8749,-2.8533
50.8596,-3.4228
50.8415,-3.9915
50.8207,-4.5595
50.6135,0.2833
50.6108,-0.8498
50.6053,-1.4161
50.5970,-1.9822
50.5861,-2.5479
50.5724,-3.1131
50.5559,-3.6776
50.5368,-4.2415
50.5149,-4.8046
50.2704,-3.3686
50.2528,-3.9283
50.2326,-4.4874
50.2097,-5.0456
50.1842,-5.6028
49.9052,-5.2826
